-----------------------------------------------------------------------------------------
File                                       blank        comment           code
-----------------------------------------------------------------------------------------
src/typer.cpp                                447            164           2810
src/ast.cpp                                  310            104           2260
src/thir.cpp                                 156             62            954
include/ast.hpp                              172            111            855
src/type.cpp                                 146             87            713
src/copier.cpp                                20              6            589
src/emit.cpp                                  66              5            520
include/scope.hpp                             74             11            497
include/lex.hpp                               54              5            400
include/thir.hpp                              64             37            398
include/type.hpp                              96             49            394
src/lex.cpp                                   24              5            307
src/resolver.cpp                              10              4            238
include/core.hpp                              22              2            191
src/command.cpp                               47             48            190
include/visitor.hpp                           58            210            175
include/error.hpp                             31              0            165
include/builder.hpp                           25              5            152
include/strings.hpp                           40             16            149
include/constexpr.hpp                          4              0            127
src/constexpr.cpp                              4              0            106
src/main.cpp                                  24             12             87
src/scope.cpp                                 19              4             85
include/emit.hpp                              12              5             79
include/copier.hpp                             6              0             65
include/interned_string.hpp                    9              0             58
src/visitor.cpp                                3             14             53
include/resolver.hpp                           4              0             38
include/arena.hpp                             12              9             35
src/old_emit.cpp                             388           2181              0
src/old_resolver.cpp                          84            548              0
-----------------------------------------------------------------------------------------
SUM:                                        2431           3704          12690
-----------------------------------------------------------------------------------------
